project_id	geoname_id	precision_code	place_name	latitude	longitude	location_type_code	geoname_adm_code	geonames_adm_name
P000306	2362079	1	Boudtenga	12.48639	-1.26583	PPL	BF|03|53	Burkina Faso|Centre|Kadiogo Province
P000306	2357048	1	Ouagadougou	12.36566	-1.53388	PPLC	BF|03|53	Burkina Faso|Centre|Kadiogo Province
P000309	2361809	6	Burkina Faso	12.5	-1.66667	PCLI	BF|00	Burkina Faso
P000309	6930704	4	Centre	12.37874	-1.53276	ADM1	BF|03	Burkina Faso|Centre
P000309	6930705	4	Centre-Est	11.78922	-0.35706	ADM1	BF|04	Burkina Faso|Centre-Est
P000309	6930706	4	Centre-Nord	13.09829	-1.0855	ADM1	BF|05	Burkina Faso|Centre-Nord
P000309	6930710	4	High-Basins Region	11.28	-4.32	ADM1	BF|09	Burkina Faso|High-Basins
P000309	6930713	4	Sahel	14.03351	-0.04575	ADM1	BF|12	Burkina Faso|Sahel
P000309	6930714	4	Southwest Region	10.5	-3.2	ADM1	BF|13	Burkina Faso|Southwest
P000527	2434508	6	Republic of Chad	15	19	PCLI	TD|00	Chad
P000968	2305884	1	Adidome	6.06568	0.50712	PPL	GH|00	Ghana
P000968	2304693	1	Amrahia	5.76972	-0.14197	PPL	GH|01	Ghana|Greater Accra
P000968	2304116	4	Ashanti Region	6.75	-1.5	ADM1	GH|02	Ghana|Ashanti
P000968	2304028	1	Asuansi	5.30227	-1.23645	PPL	GH|00	Ghana
P000968	2303529	1	Babile	10.52973	-2.83774	PPL	GH|00	Ghana
P000968	2302547	4	Brong-Ahafo Region	7.75	-1.5	ADM1	GH|03	Ghana|Brong-Ahafo
P000968	2302353	4	Central Region	5.5	-1	ADM1	GH|04	Ghana|Central
P000968	2302002	1	Damongo	9.08337	-1.81819	PPL	GH|00	Ghana
P000968	2301360	4	Eastern Region	6.5	-0.5	ADM1	GH|05	Ghana|Eastern
P000968	2301217	1	Ejura	7.38558	-1.35617	PPL	GH|02	Ghana|Ashanti
P000968	2300569	4	Greater Accra Region	5.75	0	ADM1	GH|01	Ghana|Greater Accra
P000968	2299625	1	Kintampo	8.05627	-1.73058	PPL	GH|03	Ghana|Brong-Ahafo
P000968	2299144	1	Kpong	6.15861	0.06261	PPL	GH|00	Ghana
P000968	2298724	1	Kwadaso	6.69404	-1.64603	PPL	GH|00	Ghana
P000968	2294236	1	Lake Volta	7.40057	0.19472	RSV	GH|00	Ghana
P000968	2297169	4	Northern Region	9.5	-1	ADM1	GH|06	Ghana|Northern
P000968	2296969	1	Nungua	5.60106	-0.07713	PPLX	GH|01	Ghana|Greater Accra
P000968	2296406	1	Ohawu	6.13681	0.89855	PPL	GH|00	Ghana
P000968	2295888	1	Pong-Tamale	9.68959	-0.82905	PPL	GH|06	Ghana|Northern
P000968	2300660	6	Republic of Ghana	8.1	-1.2	PCLI	GH|00	Ghana
P000968	2294700	1	Tema	5.6698	-0.01657	PPL	GH|01	Ghana|Greater Accra
P000968	2294286	4	Upper West Region	10.33333	-2.25	ADM1	GH|11	Ghana|Upper West
P000968	2294291	4	Upper East Region	10.75	-0.75	ADM1	GH|10	Ghana|Upper East
P000968	2294234	4	Volta Region	7	0.5	ADM1	GH|08	Ghana|Volta
P000968	2294086	1	Wenchi	7.73916	-2.10456	PPL	GH|03	Ghana|Brong-Ahafo
P000968	2294076	4	Western Region	5.5	-2.5	ADM1	GH|09	Ghana|Western
P001001	2372248	6	Republic of Guinea-Bissau	12	-15	PCLI	GW|00	Guinea-Bissau
P001748	2453866	8	Republic of Mali	18	-2	PCLI	ML|00	Mali
P001785	7874406	3	Angoche District	-16.23272	39.91106	ADM2	MZ|06|7874406	Mozambique|Nampula|Angoche District
P001785	1052944	1	António Enes	-16.2325	39.90861	PPL	MZ|06	Mozambique|Nampula
P001785	9072735	3	Bilene Macia District	-25.01612	33.16889	ADM2	MZ|02|9072735	Mozambique|Gaza|Bilene Macia District
P001785	7873985	3	Chibabava District	-20.292	33.531	ADM2	MZ|05|7873985	Mozambique|Sofala|Chibabava District
P001785	1046058	4	Gaza Province	-23.5	33	ADM1	MZ|02	Mozambique|Gaza
P001785	7646374	3	Gondola District	-19.15	33.66	ADM2	MZ|10|7646374	Mozambique|Manica|Gondola District
P001785	1045289	1	Inchope	-19.19472	33.89389	PPL	MZ|10	Mozambique|Manica
P001785	1105527	1	Incoluane	-25.0625	32.92833	PPL	MZ|04	Mozambique|Maputo
P001785	1045110	4	Inhambane Province	-23	34.5	ADM1	MZ|03	Mozambique|Inhambane
P001785	1090080	3	Manhica	-25.39417	32.83389	ADM2	MZ|04|1090080	Mozambique|Maputo|Manhica
P001785	1040989	1	Manhiça	-25.40222	32.80722	PPLA2	MZ|04	Mozambique|Maputo
P001785	1040947	4	Manica Province	-19	33.5	ADM1	MZ|10	Mozambique|Manica
P001785	1040652	1	Maputo	-25.96553	32.58322	PPLC	MZ|11	Mozambique|Maputo City
P001785	1040649	4	Maputo Province	-25.5	32.33333	ADM1	MZ|04	Mozambique|Maputo
P001785	1024688	1	Marracuene	-25.73694	32.67639	PPL	MZ|04	Mozambique|Maputo
P001785	8693192	3	Marracuene District	-25.73938	32.67436	ADM2	MZ|04|8693192	Mozambique|Maputo|Marracuene District
P001785	7909715	3	Massinga District	-23.03229	35.26166	ADM2	MZ|03|7909715	Mozambique|Inhambane|Massinga District
P001785	1039536	1	Maxixe	-23.85972	35.34722	PPL	MZ|03	Mozambique|Inhambane
P001785	1038879	3	Memba	-13.96591	40.39437	ADM2	MZ|06|1038879	Mozambique|Nampula|Memba
P001785	1035175	1	Muvingue	-20.57694	33.83583	PPL	MZ|05	Mozambique|Sofala
P001785	1033828	1	Nametil	-14.21667	40.55	PPL	MZ|00	Mozambique
P001785	1033354	4	Nampula	-15	39	ADM1	MZ|06	Mozambique|Nampula
P001785	1031835	1	Nhachengue	-22.84472	35.18056	PPL	MZ|03	Mozambique|Inhambane
P001785	1024312	4	Província de Zambézia	-17	37	ADM1	MZ|09	Mozambique|Zambézia
P001785	1026804	4	Sofala Province	-19.2	34.8	ADM1	MZ|05	Mozambique|Sofala
P001785	1026010	4	Tete	-15.5	33	ADM1	MZ|08	Mozambique|Tete
P001785	1024292	1	Zandamela	-24.78861	34.31278	PPL	MZ|03	Mozambique|Inhambane
P001785	7909714	3	Zavala District	-24.67289	34.6926	ADM2	MZ|03|7909714	Mozambique|Inhambane|Zavala District
P001806	1052373	1	Beira	-19.84361	34.83889	PPLA	MZ|05	Mozambique|Sofala
P001806	1024696	1	Dondo	-19.60944	34.74306	PPL	MZ|05	Mozambique|Sofala
P001806	1043893	1	Lichinga	-13.31278	35.24056	PPLA	MZ|07	Mozambique|Niassa
P001806	1040989	1	Manhiça	-25.40222	32.80722	PPLA2	MZ|04	Mozambique|Maputo
P001806	1040652	1	Maputo	-25.96553	32.58322	PPLC	MZ|11	Mozambique|Maputo City
P001806	1039854	1	Matola	-25.96222	32.45889	PPLA	MZ|04	Mozambique|Maputo
P001806	1035025	1	Nacala	-14.56257	40.68538	PPL	MZ|06	Mozambique|Nampula
P001806	1033356	1	Nampula	-15.11646	39.2666	PPLA	MZ|06	Mozambique|Nampula
P001806	1028918	1	Pemba	-12.97395	40.51775	PPLA	MZ|01	Mozambique|Cabo Delgado
P001806	1028434	1	Quelimane	-17.87861	36.88833	PPLA	MZ|09	Mozambique|Zambézia
P001806	1036973	6	Republic of Mozambique	-18.25	35	PCLI	MZ|00	Mozambique
P001806	1024552	1	Xai-Xai	-25.05194	33.64417	PPLA	MZ|02|9408663	Mozambique|Gaza|Xai-Xai District
P001807	1053142	3	Alto Molócuè	-15.64932	37.66384	ADM2	MZ|09	Mozambique|Província de Zambézia
P001807	1052446	3	Barue District	-17.81047	33.17266	ADM2	MZ|10|1052446	Mozambique|Manica|Barue District
P001807	7873983	3	Boane District	-26.029	32.389	ADM2	MZ|04|7873983	Mozambique|Maputo|Boane District
P001807	7909828	3	Cahora Bassa District	-15.70766	32.67334	ADM2	MZ|08|7909828	Mozambique|Tete|Cahora Bassa District
P001807	7874046	3	Caia District	-17.769	35.058	ADM2	MZ|05|7874046	Mozambique|Sofala|Caia District
